Grapheme	Frequency	Codepoint	UnicodeName
จึ	661	U+0E08, U+0E36	THAI CHARACTER CHO CHAN, THAI CHARACTER SARA UE
จื	5	U+0E08, U+0E37	THAI CHARACTER CHO CHAN, THAI CHARACTER SARA UEE
จุ	52	U+0E08, U+0E38	THAI CHARACTER CHO CHAN, THAI CHARACTER SARA U
จุ่	109	U+0E08, U+0E38, U+0E48	THAI CHARACTER CHO CHAN, THAI CHARACTER SARA U, THAI CHARACTER MAI EK
จู	39	U+0E08, U+0E39	THAI CHARACTER CHO CHAN, THAI CHARACTER SARA UU
จู่	8	U+0E08, U+0E39, U+0E48	THAI CHARACTER CHO CHAN, THAI CHARACTER SARA UU, THAI CHARACTER MAI EK
ฉ	218	U+0E09	THAI CHARACTER CHO CHING
ฉ่	1	U+0E09, U+0E48	THAI CHARACTER CHO CHING, THAI CHARACTER MAI EK
ฉั	67	U+0E09, U+0E31	THAI CHARACTER CHO CHING, THAI CHARACTER MAI HAN-AKAT
ฉ่ำ	1	U+0E09, U+0E48, U+0E33	THAI CHARACTER CHO CHING, THAI CHARACTER MAI EK, THAI CHARACTER SARA AM
ฉิ่	1	U+0E09, U+0E34, U+0E48	THAI CHARACTER CHO CHING, THAI CHARACTER SARA I, THAI CHARACTER MAI EK
ฉี	16	U+0E09, U+0E35	THAI CHARACTER CHO CHING, THAI CHARACTER SARA II
ฉุ	2	U+0E09, U+0E38	THAI CHARACTER CHO CHING, THAI CHARACTER SARA U
ช	2256	U+0E0A	THAI CHARACTER CHO CHANG
ช็	9	U+0E0A, U+0E47	THAI CHARACTER CHO CHANG, THAI CHARACTER MAITAIKHU
ช่	952	U+0E0A, U+0E48	THAI CHARACTER CHO CHANG, THAI CHARACTER MAI EK
ช้	537	U+0E0A, U+0E49	THAI CHARACTER CHO CHANG, THAI CHARACTER MAI THO
ชั	136	U+0E0A, U+0E31	THAI CHARACTER CHO CHANG, THAI CHARACTER MAI HAN-AKAT
ชั่	241	U+0E0A, U+0E31, U+0E48	THAI CHARACTER CHO CHANG, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI EK
ชั้	24	U+0E0A, U+0E31, U+0E49	THAI CHARACTER CHO CHANG, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO
ชำ	35	U+0E0A, U+0E33	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA AM
ช่ำ	1	U+0E0A, U+0E48, U+0E33	THAI CHARACTER CHO CHANG, THAI CHARACTER MAI EK, THAI CHARACTER SARA AM
ช้ำ	1	U+0E0A, U+0E49, U+0E33	THAI CHARACTER CHO CHANG, THAI CHARACTER MAI THO, THAI CHARACTER SARA AM
ชิ	93	U+0E0A, U+0E34	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA I
ชิ้	14	U+0E0A, U+0E34, U+0E49	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA I, THAI CHARACTER MAI THO
ชี	1036	U+0E0A, U+0E35	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA II
ชี่	4	U+0E0A, U+0E35, U+0E48	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA II, THAI CHARACTER MAI EK
ชี้	13	U+0E0A, U+0E35, U+0E49	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA II, THAI CHARACTER MAI THO
ชื	10	U+0E0A, U+0E37	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA UEE
ชื่	842	U+0E0A, U+0E37, U+0E48	THAI CHARACTER CHO CHANG, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK
